date,country,indicator,value
2012,SGP,TI.CPI,87.0
2013,SGP,TI.CPI,86.0
2014,SGP,TI.CPI,84.0
2015,SGP,TI.CPI,85.0
2016,SGP,TI.CPI,84.0
2017,SGP,TI.CPI,84.0
2018,SGP,TI.CPI,85.0
2019,SGP,TI.CPI,85.0
2020,SGP,TI.CPI,85.0
2021,SGP,TI.CPI,85.0
2022,SGP,TI.CPI,83.0
2023,SGP,TI.CPI,83.0
2024,SGP,TI.CPI,84.0
2025,SGP,TI.CPI,84.0
