date,variable,seriesNo,value
2024,Electrical Equipment,1.27,1016.3
2025,Electrical Equipment,1.27,946.7
2019,Machinery & Equipment,1.28,7683.5
2020,Machinery & Equipment,1.28,8304.5
2021,Machinery & Equipment,1.28,10274.4
2022,Machinery & Equipment,1.28,14523.5
2023,Machinery & Equipment,1.28,12944.5
2024,Machinery & Equipment,1.28,14860.8
2025,Machinery & Equipment,1.28,18689.3
2019,"Motor Vehicles, Trailers & Semi-Trailers",1.29,427.0
2020,"Motor Vehicles, Trailers & Semi-Trailers",1.29,360.3
2021,"Motor Vehicles, Trailers & Semi-Trailers",1.29,344.8
2022,"Motor Vehicles, Trailers & Semi-Trailers",1.29,352.4
2023,"Motor Vehicles, Trailers & Semi-Trailers",1.29,363.2
2024,"Motor Vehicles, Trailers & Semi-Trailers",1.29,385.6
2025,"Motor Vehicles, Trailers & Semi-Trailers",1.29,345.3
2019,Other Transport Equipment,1.30,6354.7
2020,Other Transport Equipment,1.30,4691.2
2021,Other Transport Equipment,1.30,5209.3
2022,Other Transport Equipment,1.30,6088.4
2023,Other Transport Equipment,1.30,6608.1
2024,Other Transport Equipment,1.30,8273.5
2025,Other Transport Equipment,1.30,9065.0
2019,Furniture,1.31,281.4
2020,Furniture,1.31,207.6
2021,Furniture,1.31,256.1
2022,Furniture,1.31,222.1
2023,Furniture,1.31,231.0
2024,Furniture,1.31,229.9
2025,Furniture,1.31,227.6
2019,Other Manufacturing Industries,1.32,6231.6
2020,Other Manufacturing Industries,1.32,6004.2
2021,Other Manufacturing Industries,1.32,5804.5
2022,Other Manufacturing Industries,1.32,5632.7
2023,Other Manufacturing Industries,1.32,5594.9
2024,Other Manufacturing Industries,1.32,8213.3
2025,Other Manufacturing Industries,1.32,8546.9
