date,variable,seriesNo,value
2021-01-01,Banks,1.7.1.1,27.2
2021-01-01,Holding Companies,1.7.1.2,7.8
2021-01-01,Other Financial Services,1.7.1.3,9.0
2021-01-01,Insurance Services,1.7.2,1.1
2021-01-01,Real Estate,1.8,2.4
2021-01-01,Professional And Administrative & Support Services,1.9,1.3
2021-01-01,Others,1.10,3.2
2022-01-01,Total,1,13.3
2022-01-01,Manufacturing,1.1,26.9
2022-01-01,"Food, Beverages & Tobacco",1.1.1,13.7
2022-01-01,"Paper, Paper Products & Printing",1.1.2,-3.0
2022-01-01,Refined Petroleum Products,1.1.3,17.4
2022-01-01,Chemical & Chemical Products,1.1.4,19.9
2022-01-01,Pharmaceutical & Biological Products,1.1.5,41.0
2022-01-01,Rubber & Plastic Products,1.1.6,15.8
2022-01-01,Basic Metals,1.1.7,11.6
2022-01-01,Fabricated Metal Products,1.1.8,12.7
2022-01-01,Machinery & Equipment,1.1.9,20.8
2022-01-01,Electrical Machinery & Apparatus,1.1.10,19.9
2022-01-01,"Computer, Electronic And Optical Products",1.1.11,36.1
2022-01-01,Semiconductor Devices,1.1.11.1,36.5
2022-01-01,"Instrumentation, Photographic & Optical Goods",1.1.11.3,18.3
2022-01-01,Other Electronics Nec,1.1.11.4,15.2
2022-01-01,Transport Equipment,1.1.12,21.3
2022-01-01,Construction,1.2,-5.7
2022-01-01,Wholesale & Retail Trade,1.3,23.5
2022-01-01,Wholesale Trade,1.3.1,23.7
2022-01-01,Retail Trade,1.3.2,2.6
2022-01-01,Accommodation & Food Services,1.4,6.0
2022-01-01,Transportation & Storage,1.5,69.6
2022-01-01,Water Transport & Supporting Services,1.5.1,77.2
2022-01-01,Freight Water Transport,1.5.1.1,78.1
2022-01-01,Other Water Transport Nec,1.5.1.2,40.9
2022-01-01,Land & Air Transport & Supporting Services,1.5.2,7.6
2022-01-01,"Warehousing, Post & Courier Services",1.5.3,19.4
2022-01-01,Information & Communications,1.6,-9.8
2022-01-01,Finance & Insurance,1.7,6.6
