date,variable,seriesNo,value
2021-01-01,Switzerland,1.2.11,16102.5
2021-01-01,United Kingdom,1.2.12,8478.4
2021-01-01,North America,1.3,67230.3
2021-01-01,United States Of America,1.3.1,57151.7
2021-01-01,Canada,1.3.2,10078.6
2021-01-01,Oceania,1.4,3578.6
2021-01-01,Australia,1.4.1,2942.0
2021-01-01,New Zealand,1.4.2,162.6
2021-01-01,South And Central America And The Caribbean,1.5,57192.6
2021-01-01,Bermuda,1.5.2,9195.7
2021-01-01,British Virgin Islands,1.5.3,12499.6
2021-01-01,Cayman Islands,1.5.4,23815.9
2021-01-01,Mexico,1.5.5,-22.3
2021-01-01,Africa,1.6,2431.8
2021-01-01,Mauritius,1.6.1,2348.9
2021-01-01,ASEAN,1.7,5226.4
2021-01-01,European Union (EU-27),1.8,55415.4
2022-01-01,Total,1,337101.8
2022-01-01,Asia,1.1,96812.9
2022-01-01,Brunei Darussalam,1.1.1,12.6
2022-01-01,Cambodia,1.1.2,-1.9
2022-01-01,Mainland China,1.1.3,8893.4
2022-01-01,Hong Kong,1.1.4,13004.3
2022-01-01,India,1.1.5,-160.6
2022-01-01,Indonesia,1.1.6,424.7
2022-01-01,Israel,1.1.7,280.2
2022-01-01,Japan,1.1.8,36177.8
2022-01-01,Republic Of Korea,1.1.9,9981.1
2022-01-01,Lao People's Democratic Republic,1.1.10,7.1
2022-01-01,Malaysia,1.1.11,3001.1
2022-01-01,Myanmar,1.1.12,51.9
2022-01-01,Philippines,1.1.13,430.4
2022-01-01,Taiwan,1.1.14,20272.0
2022-01-01,Thailand,1.1.15,1713.5
2022-01-01,Timor-Leste,1.1.16,
2022-01-01,Viet Nam,1.1.17,6.1
2022-01-01,Europe,1.2,111383.7
2022-01-01,Austria,1.2.1,32.3
2022-01-01,Belgium,1.2.2,300.5
2022-01-01,Denmark,1.2.3,4651.3
2022-01-01,Finland,1.2.4,728.9
2022-01-01,France,1.2.5,9000.6
2022-01-01,Germany,1.2.6,3290.5
2022-01-01,Ireland,1.2.7,276.1
2022-01-01,Luxembourg,1.2.8,3514.9
2022-01-01,Netherlands,1.2.9,39207.8
2022-01-01,Norway,1.2.10,57.2
2022-01-01,Switzerland,1.2.11,18717.5
2022-01-01,United Kingdom,1.2.12,16012.2
2022-01-01,North America,1.3,78229.1
2022-01-01,United States Of America,1.3.1,68512.9
2022-01-01,Canada,1.3.2,9716.2
2022-01-01,Oceania,1.4,8826.5
2022-01-01,Australia,1.4.1,6459.5
2022-01-01,New Zealand,1.4.2,701.3
2022-01-01,South And Central America And The Caribbean,1.5,41004.7
2022-01-01,Bahamas,1.5.1,5512.6
2022-01-01,Bermuda,1.5.2,10102.7
2022-01-01,British Virgin Islands,1.5.3,9570.2
2022-01-01,Cayman Islands,1.5.4,9582.0
2022-01-01,Mexico,1.5.5,127.0
2022-01-01,Africa,1.6,848.0
2022-01-01,Mauritius,1.6.1,660.6
2022-01-01,ASEAN,1.7,5645.7
2022-01-01,European Union (EU-27),1.8,70293.6
2023-01-01,Total,1,335468.4
2023-01-01,Asia,1.1,57842.3
2023-01-01,Brunei Darussalam,1.1.1,-10.0
2023-01-01,Cambodia,1.1.2,-10.8
2023-01-01,Mainland China,1.1.3,6983.5
2023-01-01,Hong Kong,1.1.4,12219.8
2023-01-01,India,1.1.5,1068.6
2023-01-01,Indonesia,1.1.6,1355.5
2023-01-01,Israel,1.1.7,162.9
2023-01-01,Japan,1.1.8,18079.2
2023-01-01,Republic Of Korea,1.1.9,15236.0
2023-01-01,Lao People's Democratic Republic,1.1.10,12.7
2023-01-01,Malaysia,1.1.11,2570.4
2023-01-01,Myanmar,1.1.12,-8.5
2023-01-01,Philippines,1.1.13,410.1
2023-01-01,Taiwan,1.1.14,-3786.3
2023-01-01,Thailand,1.1.15,1280.7
2023-01-01,Timor-Leste,1.1.16,
2023-01-01,Viet Nam,1.1.17,33.1
2023-01-01,Europe,1.2,154785.3
2023-01-01,Austria,1.2.1,136.5
2023-01-01,Belgium,1.2.2,1323.9
2023-01-01,Denmark,1.2.3,1779.7
