date,variable,seriesNo,value
2021-01-01,British Virgin Islands,1.5.3,7.3
2021-01-01,Cayman Islands,1.5.4,8.9
2021-01-01,Africa,1.6,8.6
2021-01-01,Mauritius,1.6.1,9.1
2021-01-01,ASEAN,1.7,7.4
2021-01-01,European Union (EU-27),1.8,19.9
2022-01-01,Total,1,13.3
2022-01-01,Asia,1.1,18.7
2022-01-01,Brunei Darussalam,1.1.1,4.4
2022-01-01,Cambodia,1.1.2,-1.3
2022-01-01,Mainland China,1.1.3,16.7
2022-01-01,Hong Kong,1.1.4,13.7
2022-01-01,India,1.1.5,-0.7
2022-01-01,Indonesia,1.1.6,4.3
2022-01-01,Israel,1.1.7,14.4
2022-01-01,Japan,1.1.8,21.6
2022-01-01,Republic Of Korea,1.1.9,23.5
2022-01-01,Lao People's Democratic Republic,1.1.10,12.0
2022-01-01,Malaysia,1.1.11,6.8
2022-01-01,Myanmar,1.1.12,19.0
2022-01-01,Philippines,1.1.13,6.3
2022-01-01,Taiwan,1.1.14,49.0
2022-01-01,Thailand,1.1.15,10.8
2022-01-01,Viet Nam,1.1.17,2.7
2022-01-01,Europe,1.2,17.2
2022-01-01,Austria,1.2.1,1.1
2022-01-01,Belgium,1.2.2,2.1
2022-01-01,Denmark,1.2.3,24.2
2022-01-01,Finland,1.2.4,11.2
2022-01-01,France,1.2.5,30.0
2022-01-01,Germany,1.2.6,14.0
2022-01-01,Ireland,1.2.7,0.7
2022-01-01,Luxembourg,1.2.8,3.5
2022-01-01,Netherlands,1.2.9,74.7
2022-01-01,Norway,1.2.10,0.7
2022-01-01,Switzerland,1.2.11,24.7
2022-01-01,United Kingdom,1.2.12,12.1
2022-01-01,North America,1.3,11.5
2022-01-01,United States Of America,1.3.1,11.6
2022-01-01,Canada,1.3.2,10.4
2022-01-01,Oceania,1.4,32.6
2022-01-01,Australia,1.4.1,36.2
2022-01-01,New Zealand,1.4.2,60.9
2022-01-01,South And Central America And The Caribbean,1.5,6.4
2022-01-01,Bahamas,1.5.1,21.9
2022-01-01,Bermuda,1.5.2,8.1
2022-01-01,British Virgin Islands,1.5.3,5.3
2022-01-01,Cayman Islands,1.5.4,3.3
2022-01-01,Africa,1.6,3.1
2022-01-01,Mauritius,1.6.1,2.7
2022-01-01,ASEAN,1.7,7.3
2022-01-01,European Union (EU-27),1.8,21.3
2023-01-01,Total,1,12.3
2023-01-01,Asia,1.1,10.1
2023-01-01,Brunei Darussalam,1.1.1,-3.5
2023-01-01,Cambodia,1.1.2,-12.3
2023-01-01,Mainland China,1.1.3,11.2
2023-01-01,Hong Kong,1.1.4,11.6
2023-01-01,India,1.1.5,4.1
2023-01-01,Indonesia,1.1.6,8.5
2023-01-01,Israel,1.1.7,7.3
2023-01-01,Japan,1.1.8,10.1
2023-01-01,Republic Of Korea,1.1.9,32.5
2023-01-01,Lao People's Democratic Republic,1.1.10,22.7
2023-01-01,Malaysia,1.1.11,5.4
2023-01-01,Myanmar,1.1.12,-4.0
2023-01-01,Philippines,1.1.13,6.2
2023-01-01,Taiwan,1.1.14,-8.2
2023-01-01,Thailand,1.1.15,7.2
2023-01-01,Europe,1.2,21.5
2023-01-01,Austria,1.2.1,5.2
2023-01-01,Belgium,1.2.2,9.4
2023-01-01,Denmark,1.2.3,10.1
2023-01-01,Finland,1.2.4,7.4
2023-01-01,France,1.2.5,19.8
2023-01-01,Germany,1.2.6,15.2
2023-01-01,Luxembourg,1.2.8,16.5
2023-01-01,Netherlands,1.2.9,45.0
2023-01-01,Norway,1.2.10,5.0
2023-01-01,Switzerland,1.2.11,31.9
2023-01-01,United Kingdom,1.2.12,16.5
2023-01-01,North America,1.3,11.8
2023-01-01,United States Of America,1.3.1,12.0
2023-01-01,Canada,1.3.2,10.6
2023-01-01,Oceania,1.4,19.6
2023-01-01,Australia,1.4.1,22.7
2023-01-01,New Zealand,1.4.2,15.9
2023-01-01,South And Central America And The Caribbean,1.5,4.5
2023-01-01,Bahamas,1.5.1,10.5
2023-01-01,Bermuda,1.5.2,6.3
2023-01-01,British Virgin Islands,1.5.3,4.1
2023-01-01,Cayman Islands,1.5.4,3.5
2023-01-01,Africa,1.6,3.0
2023-01-01,Mauritius,1.6.1,3.4
2023-01-01,ASEAN,1.7,6.4
2023-01-01,European Union (EU-27),1.8,26.4
2024-01-01,Total,1,12.7
2024-01-01,Asia,1.1,11.9
2024-01-01,Brunei Darussalam,1.1.1,-10.1
2024-01-01,Cambodia,1.1.2,-43.3
2024-01-01,Mainland China,1.1.3,11.2
2024-01-01,Hong Kong,1.1.4,12.2
2024-01-01,India,1.1.5,8.4
2024-01-01,Indonesia,1.1.6,-0.1
2024-01-01,Israel,1.1.7,10.4
2024-01-01,Japan,1.1.8,11.7
2024-01-01,Republic Of Korea,1.1.9,10.8
2024-01-01,Lao People's Democratic Republic,1.1.10,13.7
2024-01-01,Malaysia,1.1.11,5.4
2024-01-01,Philippines,1.1.13,4.8
2024-01-01,Taiwan,1.1.14,31.1
2024-01-01,Thailand,1.1.15,8.9
2024-01-01,Europe,1.2,18.6
2024-01-01,Austria,1.2.1,6.9
2024-01-01,Belgium,1.2.2,5.6
2024-01-01,Denmark,1.2.3,15.2
