date,variable,seriesNo,value
2019-07-01,Non-Oil,5.2,23015870.3
2019-08-01,"Total Merchandise Trade, (At Current Prices)",1,84214763.6
2019-08-01,Oil,1.1,14832202.8
2019-08-01,Non-Oil,1.2,69382560.8
2019-08-01,"Total Merchandise Imports, (At Current Prices)",2,40390737.9
2019-08-01,Oil,2.1,7988904.6
2019-08-01,Non-Oil,2.2,32401833.4
2019-08-01,"Total Merchandise Exports, (At Current Prices)",3,43824025.6
2019-08-01,Oil,3.1,6843298.2
2019-08-01,Non-Oil,3.2,36980727.4
2019-08-01,"Total Domestic Exports, (At Current Prices)",4,20720452.4
2019-08-01,Oil,4.1,6633701.4
2019-08-01,Non-Oil,4.2,14086751.0
2019-08-01,"Total Re-Exports, (At Current Prices)",5,23103573.3
2019-08-01,Oil,5.1,209596.9
2019-08-01,Non-Oil,5.2,22893976.4
2019-09-01,"Total Merchandise Trade, (At Current Prices)",1,84265258.9
2019-09-01,Oil,1.1,14151949.0
2019-09-01,Non-Oil,1.2,70113309.9
2019-09-01,"Total Merchandise Imports, (At Current Prices)",2,40221696.6
2019-09-01,Oil,2.1,7601017.3
2019-09-01,Non-Oil,2.2,32620679.2
2019-09-01,"Total Merchandise Exports, (At Current Prices)",3,44043562.3
2019-09-01,Oil,3.1,6550931.6
2019-09-01,Non-Oil,3.2,37492630.6
2019-09-01,"Total Domestic Exports, (At Current Prices)",4,20215935.4
2019-09-01,Oil,4.1,6343566.4
2019-09-01,Non-Oil,4.2,13872368.9
2019-09-01,"Total Re-Exports, (At Current Prices)",5,23827626.9
2019-09-01,Oil,5.1,207365.2
2019-09-01,Non-Oil,5.2,23620261.7
2019-10-01,"Total Merchandise Trade, (At Current Prices)",1,84859983.2
2019-10-01,Oil,1.1,15597202.4
2019-10-01,Non-Oil,1.2,69262780.8
2019-10-01,"Total Merchandise Imports, (At Current Prices)",2,40360234.4
2019-10-01,Oil,2.1,7960969.4
2019-10-01,Non-Oil,2.2,32399264.9
2019-10-01,"Total Merchandise Exports, (At Current Prices)",3,44499748.8
2019-10-01,Oil,3.1,7636233.0
2019-10-01,Non-Oil,3.2,36863515.8
2019-10-01,"Total Domestic Exports, (At Current Prices)",4,21099920.3
2019-10-01,Oil,4.1,7433468.2
2019-10-01,Non-Oil,4.2,13666452.1
2019-10-01,"Total Re-Exports, (At Current Prices)",5,23399828.5
2019-10-01,Oil,5.1,202764.8
2019-10-01,Non-Oil,5.2,23197063.8
2019-11-01,"Total Merchandise Trade, (At Current Prices)",1,86981696.8
2019-11-01,Oil,1.1,16348883.0
2019-11-01,Non-Oil,1.2,70632813.9
2019-11-01,"Total Merchandise Imports, (At Current Prices)",2,41772917.0
2019-11-01,Oil,2.1,9302865.8
2019-11-01,Non-Oil,2.2,32470051.3
2019-11-01,"Total Merchandise Exports, (At Current Prices)",3,45208779.8
2019-11-01,Oil,3.1,7046017.2
2019-11-01,Non-Oil,3.2,38162762.6
2019-11-01,"Total Domestic Exports, (At Current Prices)",4,21207198.6
2019-11-01,Oil,4.1,6864631.5
2019-11-01,Non-Oil,4.2,14342567.0
2019-11-01,"Total Re-Exports, (At Current Prices)",5,24001581.2
2019-11-01,Oil,5.1,181385.6
2019-11-01,Non-Oil,5.2,23820195.6
2019-12-01,"Total Merchandise Trade, (At Current Prices)",1,85735385.8
2019-12-01,Oil,1.1,14772482.8
2019-12-01,Non-Oil,1.2,70962903.1
2019-12-01,"Total Merchandise Imports, (At Current Prices)",2,40908973.4
2019-12-01,Oil,2.1,8214384.3
2019-12-01,Non-Oil,2.2,32694589.1
2019-12-01,"Total Merchandise Exports, (At Current Prices)",3,44826412.5
2019-12-01,Oil,3.1,6558098.5
2019-12-01,Non-Oil,3.2,38268314.0
2019-12-01,"Total Domestic Exports, (At Current Prices)",4,20559332.3
2019-12-01,Oil,4.1,6333531.9
2019-12-01,Non-Oil,4.2,14225800.4
2019-12-01,"Total Re-Exports, (At Current Prices)",5,24267080.2
2019-12-01,Oil,5.1,224566.6
2019-12-01,Non-Oil,5.2,24042513.6
2020-01-01,"Total Merchandise Trade, (At Current Prices)",1,91063692.4
2020-01-01,Oil,1.1,17971720.9
2020-01-01,Non-Oil,1.2,73091971.5
2020-01-01,"Total Merchandise Imports, (At Current Prices)",2,43757878.7
2020-01-01,Oil,2.1,9406361.2
2020-01-01,Non-Oil,2.2,34351517.5
2020-01-01,"Total Merchandise Exports, (At Current Prices)",3,47305813.7
2020-01-01,Oil,3.1,8565359.7
2020-01-01,Non-Oil,3.2,38740454.0
2020-01-01,"Total Domestic Exports, (At Current Prices)",4,22567901.8
2020-01-01,Oil,4.1,8336546.1
2020-01-01,Non-Oil,4.2,14231355.7
2020-01-01,"Total Re-Exports, (At Current Prices)",5,24737911.9
2020-01-01,Oil,5.1,228813.6
2020-01-01,Non-Oil,5.2,24509098.3
2020-02-01,"Total Merchandise Trade, (At Current Prices)",1,84678006.1
2020-02-01,Oil,1.1,15164302.1
2020-02-01,Non-Oil,1.2,69513704.0
2020-02-01,"Total Merchandise Imports, (At Current Prices)",2,40664696.7
2020-02-01,Oil,2.1,7941023.8
2020-02-01,Non-Oil,2.2,32723672.9
2020-02-01,"Total Merchandise Exports, (At Current Prices)",3,44013309.5
2020-02-01,Oil,3.1,7223278.3
2020-02-01,Non-Oil,3.2,36790031.2
2020-02-01,"Total Domestic Exports, (At Current Prices)",4,20897354.4
2020-02-01,Oil,4.1,7071906.2
2020-02-01,Non-Oil,4.2,13825448.3
2020-02-01,"Total Re-Exports, (At Current Prices)",5,23115955.0
2020-02-01,Oil,5.1,151372.1
2020-02-01,Non-Oil,5.2,22964582.9
2020-03-01,"Total Merchandise Trade, (At Current Prices)",1,83277346.2
2020-03-01,Oil,1.1,13535692.3
2020-03-01,Non-Oil,1.2,69741653.9
2020-03-01,"Total Merchandise Imports, (At Current Prices)",2,39033014.5
2020-03-01,Oil,2.1,6691584.8
2020-03-01,Non-Oil,2.2,32341429.7
2020-03-01,"Total Merchandise Exports, (At Current Prices)",3,44244331.7
2020-03-01,Oil,3.1,6844107.5
2020-03-01,Non-Oil,3.2,37400224.2
2020-03-01,"Total Domestic Exports, (At Current Prices)",4,21596997.8
2020-03-01,Oil,4.1,6606696.2
2020-03-01,Non-Oil,4.2,14990301.6
2020-03-01,"Total Re-Exports, (At Current Prices)",5,22647333.9
2020-03-01,Oil,5.1,237411.4
2020-03-01,Non-Oil,5.2,22409922.6
2020-04-01,"Total Merchandise Trade, (At Current Prices)",1,75522412.2
2020-04-01,Oil,1.1,8704136.4
2020-04-01,Non-Oil,1.2,66818275.8
2020-04-01,"Total Merchandise Imports, (At Current Prices)",2,35761665.6
2020-04-01,Oil,2.1,4486910.4
2020-04-01,Non-Oil,2.2,31274755.2
2020-04-01,"Total Merchandise Exports, (At Current Prices)",3,39760746.7
2020-04-01,Oil,3.1,4217226.1
2020-04-01,Non-Oil,3.2,35543520.6
2020-04-01,"Total Domestic Exports, (At Current Prices)",4,18735341.9
2020-04-01,Oil,4.1,4052157.5
2020-04-01,Non-Oil,4.2,14683184.4
2020-04-01,"Total Re-Exports, (At Current Prices)",5,21025404.8
2020-04-01,Oil,5.1,165068.6
2020-04-01,Non-Oil,5.2,20860336.2
2020-05-01,"Total Merchandise Trade, (At Current Prices)",1,71713450.9
2020-05-01,Oil,1.1,6200356.6
2020-05-01,Non-Oil,1.2,65513094.3
2020-05-01,"Total Merchandise Imports, (At Current Prices)",2,32949811.0
2020-05-01,Oil,2.1,2845524.7
2020-05-01,Non-Oil,2.2,30104286.3
2020-05-01,"Total Merchandise Exports, (At Current Prices)",3,38763639.9
2020-05-01,Oil,3.1,3354832.0
2020-05-01,Non-Oil,3.2,35408807.9
2020-05-01,"Total Domestic Exports, (At Current Prices)",4,17412073.8
2020-05-01,Oil,4.1,3225400.8
2020-05-01,Non-Oil,4.2,14186672.9
2020-05-01,"Total Re-Exports, (At Current Prices)",5,21351566.2
2020-05-01,Oil,5.1,129431.1
2020-05-01,Non-Oil,5.2,21222135.0
2020-06-01,"Total Merchandise Trade, (At Current Prices)",1,75111138.2
2020-06-01,Oil,1.1,8200455.0
2020-06-01,Non-Oil,1.2,66910683.2
2020-06-01,"Total Merchandise Imports, (At Current Prices)",2,34732436.3
2020-06-01,Oil,2.1,4067288.2
2020-06-01,Non-Oil,2.2,30665148.1
2020-06-01,"Total Merchandise Exports, (At Current Prices)",3,40378702.0
2020-06-01,Oil,3.1,4133166.8
2020-06-01,Non-Oil,3.2,36245535.2
2020-06-01,"Total Domestic Exports, (At Current Prices)",4,17875295.7
2020-06-01,Oil,4.1,3952723.8
2020-06-01,Non-Oil,4.2,13922571.8
2020-06-01,"Total Re-Exports, (At Current Prices)",5,22503406.3
2020-06-01,Oil,5.1,180443.0
2020-06-01,Non-Oil,5.2,22322963.3
2020-07-01,"Total Merchandise Trade, (At Current Prices)",1,77004780.6
2020-07-01,Oil,1.1,9220871.3
2020-07-01,Non-Oil,1.2,67783909.2
2020-07-01,"Total Merchandise Imports, (At Current Prices)",2,36053758.0
2020-07-01,Oil,2.1,4477054.5
2020-07-01,Non-Oil,2.2,31576703.6
2020-07-01,"Total Merchandise Exports, (At Current Prices)",3,40951022.5
2020-07-01,Oil,3.1,4743816.9
2020-07-01,Non-Oil,3.2,36207205.7
2020-07-01,"Total Domestic Exports, (At Current Prices)",4,18572252.7
2020-07-01,Oil,4.1,4581294.8
2020-07-01,Non-Oil,4.2,13990958.0
2020-07-01,"Total Re-Exports, (At Current Prices)",5,22378769.8
2020-07-01,Oil,5.1,162522.1
2020-07-01,Non-Oil,5.2,22216247.7
2020-08-01,"Total Merchandise Trade, (At Current Prices)",1,81513027.7
2020-08-01,Oil,1.1,10258488.1
2020-08-01,Non-Oil,1.2,71254539.6
