date,variable,seriesNo,value
2024,Construction,1.2,184.1
2019,Wholesale & Retail Trade,1.3,47681.9
2020,Wholesale & Retail Trade,1.3,46531.7
2021,Wholesale & Retail Trade,1.3,71241.3
2022,Wholesale & Retail Trade,1.3,94020.8
2023,Wholesale & Retail Trade,1.3,105621.2
2024,Wholesale & Retail Trade,1.3,100522.7
2019,Wholesale Trade,1.3.1,47574.1
2020,Wholesale Trade,1.3.1,46525.7
2021,Wholesale Trade,1.3.1,70991.7
2022,Wholesale Trade,1.3.1,93903.0
2023,Wholesale Trade,1.3.1,105403.7
2024,Wholesale Trade,1.3.1,100126.1
2019,Retail Trade,1.3.2,107.8
2020,Retail Trade,1.3.2,6.0
2021,Retail Trade,1.3.2,249.7
2022,Retail Trade,1.3.2,117.8
2023,Retail Trade,1.3.2,217.4
2024,Retail Trade,1.3.2,396.5
2019,Accommodation & Food Services,1.4,222.9
2020,Accommodation & Food Services,1.4,-125.4
2021,Accommodation & Food Services,1.4,-231.3
2022,Accommodation & Food Services,1.4,399.9
2023,Accommodation & Food Services,1.4,231.5
2024,Accommodation & Food Services,1.4,423.7
2019,Transportation & Storage,1.5,3309.5
2020,Transportation & Storage,1.5,10932.2
2021,Transportation & Storage,1.5,42961.1
2022,Transportation & Storage,1.5,62951.8
2023,Transportation & Storage,1.5,7153.7
2024,Transportation & Storage,1.5,28976.0
2019,Water Transport & Supporting Services,1.5.1,2774.9
2020,Water Transport & Supporting Services,1.5.1,9518.5
2021,Water Transport & Supporting Services,1.5.1,41691.3
2022,Water Transport & Supporting Services,1.5.1,60882.7
2023,Water Transport & Supporting Services,1.5.1,5410.0
2024,Water Transport & Supporting Services,1.5.1,27108.1
2019,Freight Water Transport,1.5.1.1,2444.8
2020,Freight Water Transport,1.5.1.1,8975.3
2021,Freight Water Transport,1.5.1.1,40921.5
2022,Freight Water Transport,1.5.1.1,60082.6
2023,Freight Water Transport,1.5.1.1,4698.3
2024,Freight Water Transport,1.5.1.1,25833.3
2019,Other Water Transport Nec,1.5.1.2,330.1
2020,Other Water Transport Nec,1.5.1.2,543.3
2021,Other Water Transport Nec,1.5.1.2,769.8
2022,Other Water Transport Nec,1.5.1.2,800.1
2023,Other Water Transport Nec,1.5.1.2,711.7
2024,Other Water Transport Nec,1.5.1.2,1274.8
2019,Land & Air Transport & Supporting Services,1.5.2,-253.6
2020,Land & Air Transport & Supporting Services,1.5.2,274.3
2021,Land & Air Transport & Supporting Services,1.5.2,135.6
2022,Land & Air Transport & Supporting Services,1.5.2,116.3
2023,Land & Air Transport & Supporting Services,1.5.2,532.5
2024,Land & Air Transport & Supporting Services,1.5.2,535.8
2019,"Warehousing, Post & Courier Services",1.5.3,788.2
2020,"Warehousing, Post & Courier Services",1.5.3,1139.4
2021,"Warehousing, Post & Courier Services",1.5.3,1134.2
2022,"Warehousing, Post & Courier Services",1.5.3,1952.7
2023,"Warehousing, Post & Courier Services",1.5.3,1211.2
2024,"Warehousing, Post & Courier Services",1.5.3,1332.1
2019,Information & Communications,1.6,173.4
2020,Information & Communications,1.6,-1465.3
2021,Information & Communications,1.6,-1886.9
2022,Information & Communications,1.6,-4507.2
2023,Information & Communications,1.6,439.4
2024,Information & Communications,1.6,3743.6
2019,Finance & Insurance,1.7,68042.8
2020,Finance & Insurance,1.7,89547.0
2021,Finance & Insurance,1.7,106341.1
2022,Finance & Insurance,1.7,96883.1
2023,Finance & Insurance,1.7,157586.0
2024,Finance & Insurance,1.7,167188.0
2019,Financial Services,1.7.1,72107.2
2020,Financial Services,1.7.1,92413.4
2021,Financial Services,1.7.1,106037.6
2022,Financial Services,1.7.1,94106.3
2023,Financial Services,1.7.1,154189.1
2024,Financial Services,1.7.1,162591.2
2019,Banks,1.7.1.1,2852.7
2020,Banks,1.7.1.1,3759.2
2021,Banks,1.7.1.1,5756.9
2022,Banks,1.7.1.1,7402.5
2023,Banks,1.7.1.1,8448.8
2024,Banks,1.7.1.1,11360.2
2019,Holding Companies,1.7.1.2,56182.9
2020,Holding Companies,1.7.1.2,78455.8
2021,Holding Companies,1.7.1.2,89823.2
2022,Holding Companies,1.7.1.2,78128.8
2023,Holding Companies,1.7.1.2,126811.3
2024,Holding Companies,1.7.1.2,133217.9
2019,Other Financial Services,1.7.1.3,13071.6
2020,Other Financial Services,1.7.1.3,10198.4
2021,Other Financial Services,1.7.1.3,10457.4
2022,Other Financial Services,1.7.1.3,8574.9
2023,Other Financial Services,1.7.1.3,18929.0
2024,Other Financial Services,1.7.1.3,18013.1
2019,Insurance Services,1.7.2,-4064.4
2020,Insurance Services,1.7.2,-2866.4
2021,Insurance Services,1.7.2,303.5
2022,Insurance Services,1.7.2,2776.8
2023,Insurance Services,1.7.2,3396.9
2024,Insurance Services,1.7.2,4596.8
2019,Real Estate,1.8,2207.1
2020,Real Estate,1.8,544.0
2021,Real Estate,1.8,1085.8
2022,Real Estate,1.8,2544.5
2023,Real Estate,1.8,821.9
2024,Real Estate,1.8,2685.0
2019,Professional And Administrative & Support Services,1.9,8940.8
2020,Professional And Administrative & Support Services,1.9,4274.0
2021,Professional And Administrative & Support Services,1.9,2799.6
2022,Professional And Administrative & Support Services,1.9,6850.8
2023,Professional And Administrative & Support Services,1.9,9914.5
2024,Professional And Administrative & Support Services,1.9,17788.6
2019,Others,1.10,865.8
2020,Others,1.10,-251.6
2021,Others,1.10,403.2
2022,Others,1.10,2596.7
2023,Others,1.10,4360.4
2024,Others,1.10,3043.9
